country,substation_id,action,destination,reason
italy,7000023260,remove,slovenia,duplicate of slovenia SI_v43_1baa75d0a2e9 at 0.01 m
italy,7000023261,remove,slovenia,duplicate of slovenia SI_v43_dbe4673c3374 at 0.06 m
italy,7000023262,remove,slovenia,duplicate of slovenia SI_v43_3536b54397ac at 0.05 m
italy,7000023433,remove,slovenia,duplicate of slovenia SI_v43_9997272b73ff at 0.03 m
italy,7000023449,remove,slovenia,duplicate of slovenia SI_v43_e2b14f68952a at 0.01 m
italy,7000023484,remove,france,duplicate of france 1000138234 at 0.01 m
italy,7000023498,remove,slovenia,duplicate of slovenia SI_v43_8114a391c547 at 0.02 m
italy,7000023502,remove,slovenia,duplicate of slovenia SI_v43_d4f5898c0802 at 0.03 m
italy,7000023719,remove,slovenia,duplicate of slovenia SI_v43_44f71f2d7efa at 0.06 m
italy,7000024231,remove,slovenia,duplicate of slovenia SI_v43_353a3f504564 at 0.06 m
italy,7000024256,remove,slovenia,duplicate of slovenia SI_v43_3aa7f317530c at 0.03 m
italy,7000024408,reassign,austria,new to austria; nearest existing 72.8 m
italy,7000024522,remove,slovenia,duplicate of slovenia SI_v43_417b19673080 at 0.02 m
italy,7000024936,remove,slovenia,duplicate of slovenia SI_v43_2578303241bc at 0.06 m
italy,7000025021,remove,slovenia,duplicate of slovenia SI_100157 at 11.74 m
italy,7000025656,remove,slovenia,duplicate of slovenia SI_v43_516af17776f9 at 0.04 m
italy,7000025663,remove,france,duplicate of france 1000140057 at 0.04 m
italy,7000025728,remove,slovenia,duplicate of slovenia SI_v43_899c1d58f3da at 0.04 m
italy,7000025740,remove,slovenia,duplicate of slovenia SI_v43_c189c99761a2 at 0.02 m
italy,7000026762,remove,slovenia,duplicate of slovenia SI_v43_76a3e6f5f84a at 0.02 m
japan,8000000489,remove,,unexplained: 21.8 km outside own territory
japan,8000006458,remove,korea,duplicate of korea KR_OSM_n274961871 at 4.63 m
japan,8000006459,remove,korea,duplicate of korea KR_OSM_n275141765 at 0.00 m
japan,8000006461,remove,korea,duplicate of korea KR_OSM_n284430067 at 0.00 m
japan,8000006462,remove,korea,duplicate of korea KR_OSM_n288753042 at 0.00 m
japan,8000006503,remove,korea,duplicate of korea KR_OSM_n342892940 at 0.00 m
japan,8000006779,remove,korea,duplicate of korea KR_OSM_n766674621 at 0.00 m
japan,8000006828,remove,korea,duplicate of korea KR_OSM_n894736436 at 0.00 m
japan,8000006829,remove,korea,duplicate of korea KR_OSM_n894856181 at 0.00 m
japan,8000006830,remove,korea,duplicate of korea KR_OSM_n894856185 at 0.00 m
japan,8000006831,remove,korea,duplicate of korea KR_OSM_n894856186 at 0.00 m
japan,8000006832,remove,korea,duplicate of korea KR_OSM_n894856188 at 0.00 m
japan,8000006925,remove,,unexplained: 239.8 km outside own territory
japan,8000006926,remove,korea,duplicate of korea KR_OSM_n1265876656 at 0.00 m
latvia,LV_000877,remove,BY,containing state BY has no fleet in this cohort
latvia,LV_v43_4f6b75ca3b99,reassign,lithuania,new to lithuania
mexico,MX_02386,remove,us,duplicate of us 120000071848 at 0.01 m
mexico,MX_02484,remove,us,duplicate of us 120000077445 at 0.04 m
